era_SectionOfLine;era_SectionOfLine_era_opStart;era_SectionOfLine_era_opStart__label;era_SectionOfLine_era_nationalLine_rdfs_label;era_SectionOfLine_era_lengthOfSectionOfLine;era_SectionOfLine_era_opEnd;era_SectionOfLine_era_opEnd__label;CUSTOM_VAR_IN_COUNTRY;CUSTOM_VAR_IN_COUNTRY__label;__type;__label
http://data.europa.eu/949/sectionOfLine/78c63c5576;http://data.europa.eu/949/operationalPoint/0d9dd6d739;Hagge;10;9.971;http://data.europa.eu/949/operationalPoint/b4da821c9c;Ludvika;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/81fb0ca851;http://data.europa.eu/949/operationalPoint/d127f31f77;Hillerstorp;4;17.349;http://data.europa.eu/949/operationalPoint/46e4748cd5;Värnamo central;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/6c1dec906d;http://data.europa.eu/949/operationalPoint/6a65625a3a;Rynge;90;7.346;http://data.europa.eu/949/operationalPoint/b7dba2de77;Vilhelmsborg;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/507b95d048;http://data.europa.eu/949/operationalPoint/566952a251;Grums;11;9.864;http://data.europa.eu/949/operationalPoint/177e5ea8bc;Segmon;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/ce4fbb0ca8;http://data.europa.eu/949/operationalPoint/cb7baf0f77;Laholm västra;3;10.085;http://data.europa.eu/949/operationalPoint/2108b8c853;Båstad norra;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/91d3e536e7;http://data.europa.eu/949/operationalPoint/f59e9c9be9;Björna;7;11.839;http://data.europa.eu/949/operationalPoint/4d05efc6f9;Långviksmon;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/b10fa2efed;http://data.europa.eu/949/operationalPoint/ec717ae78f;Växjö;4;13.103;http://data.europa.eu/949/operationalPoint/dbdee76196;Åryd;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/3205f12272;http://data.europa.eu/949/operationalPoint/ebecce731d;Edane;12;14.911;http://data.europa.eu/949/operationalPoint/54d29e8c8e;Arvika;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/84cfb05ef1;http://data.europa.eu/949/operationalPoint/12a3e8101e;Ånge;8;13.817;http://data.europa.eu/949/operationalPoint/acab2c3eaf;Erikslund;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/9cf0d67020;http://data.europa.eu/949/operationalPoint/1324b2a7ab;Keräsjoki;29;10.983;http://data.europa.eu/949/operationalPoint/6f447a1b95;Haparanda södra;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/8bad9e0148;http://data.europa.eu/949/operationalPoint/166e75829a;Södra Vi;65;9.88;http://data.europa.eu/949/operationalPoint/a334cc4db2;Vimmerby;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/809a3f155a;http://data.europa.eu/949/operationalPoint/03ac0717a7;Nykroppa;10;7.829;http://data.europa.eu/949/operationalPoint/f2d3ac8a54;Daglösen;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/6bc7424579;http://data.europa.eu/949/operationalPoint/a364afdc91;Kringlan;5;5.619;http://data.europa.eu/949/operationalPoint/749c9be24e;Axmarby;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/83f71bcb5a;http://data.europa.eu/949/operationalPoint/1219d6ead9;Vännäs norra;7;6.907;http://data.europa.eu/949/operationalPoint/7a30084753;Tväråbäck;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/98f64734fa;http://data.europa.eu/949/operationalPoint/d354bf603e;Björnlunda;1;9.752;http://data.europa.eu/949/operationalPoint/04a59b8ebe;Stjärnhov;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/766f3e6148;http://data.europa.eu/949/operationalPoint/470c021a88;Östertälje;1;1.874;http://data.europa.eu/949/operationalPoint/803767c4bd;Södertälje hamn;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/8d3396c6de;http://data.europa.eu/949/operationalPoint/eee85a838a;Åby södra;2;7.806;http://data.europa.eu/949/operationalPoint/951eb1d8c4;Norrköpings central;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/7a4522efdd;http://data.europa.eu/949/operationalPoint/a51ccf796c;Brista;5;2.112;http://data.europa.eu/949/operationalPoint/dd94761251;Märsta;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/193e5f3db7;http://data.europa.eu/949/operationalPoint/803767c4bd;Södertälje hamn;1;1.943;http://data.europa.eu/949/operationalPoint/5621d70d8f;Södertälje centrum;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/5698a05dcc;http://data.europa.eu/949/operationalPoint/ccedda7787;Lakaträsk;21;11.624;http://data.europa.eu/949/operationalPoint/61b1591722;Näsberg;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/a3ba3a3857;http://data.europa.eu/949/operationalPoint/1424aaf700;Ulvstorp;2;9.125;http://data.europa.eu/949/operationalPoint/70d4febf73;Aleholm;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/20c02ee12d;http://data.europa.eu/949/operationalPoint/bec3bb1bd6;Gävle central;5;5.137;http://data.europa.eu/949/operationalPoint/10e2d9b50d;Hagaström;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/6b0122de74;http://data.europa.eu/949/operationalPoint/e76afc7bd6;Gastsjön;7;6.784;http://data.europa.eu/949/operationalPoint/5a340c3c68;Övsjö;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/b8d4c8f389;http://data.europa.eu/949/operationalPoint/d2453b2b53;Moheda;2;6.831;http://data.europa.eu/949/operationalPoint/8e3e946578;Gåvetorp;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/61f3c486ad;http://data.europa.eu/949/operationalPoint/eca81cd7b8;Helsingborgs godsbangård;32;6.952;http://data.europa.eu/949/operationalPoint/08cff355ac;Gantofta;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/7a2a6fb17c;http://data.europa.eu/949/operationalPoint/88e32ca2b0;Hallsbergs personbangård;9;7.179;http://data.europa.eu/949/operationalPoint/40d44e5b22;Kumla;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/8f3c4ba790;http://data.europa.eu/949/operationalPoint/21d463f843;Linddalen;1;9.304;http://data.europa.eu/949/operationalPoint/6fc3f73606;Laxå;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/a43ab459c2;http://data.europa.eu/949/operationalPoint/ed3696b16b;Ånimskog;11;12.773;http://data.europa.eu/949/operationalPoint/f2b67cf94e;Köpmannebro;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/f81158e304;http://data.europa.eu/949/operationalPoint/abfa6525eb;Utsikten;1;3.49;http://data.europa.eu/949/operationalPoint/99ec13fc30;Tumba;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/b16f4a6685;http://data.europa.eu/949/operationalPoint/08793836b0;Umeå östra;7;3.642;http://data.europa.eu/949/operationalPoint/d1528fd82a;Gimonäs;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
