era_OperationalPoint;era_OperationalPoint_era_opType;era_OperationalPoint_era_opType__label;era_OperationalPoint_era_uopid;era_OperationalPoint_era_primaryLocation;era_OperationalPoint_era_primaryLocation__label;era_OperationalPoint_era_netReference_geosparql_hasGeometry_geosparql_asWKT;era_OperationalPoint_era_opName;CUSTOM_VAR_IN_COUNTRY;CUSTOM_VAR_IN_COUNTRY__label
http://data.europa.eu/949/operationalPoint/75622918b7;http://data.europa.eu/949/concepts/op-types/80;junction;SEGia;http://data.europa.eu/949/primaryLocation/SE10137;SE10137;POINT(19.0839 63.3377);Gideåbacka;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/95ea2ad491;http://data.europa.eu/949/concepts/op-types/20;small station;SEN;http://data.europa.eu/949/primaryLocation/SE03012;SE03012;POINT(14.6947 57.6514);Nässjö central;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/9d37701f20;http://data.europa.eu/949/concepts/op-types/80;junction;SEMyn;http://data.europa.eu/949/primaryLocation/SE10372;SE10372;POINT(17.8077 59.694);Myrbacken;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/b9cc445180;http://data.europa.eu/949/concepts/op-types/20;small station;SELkö;http://data.europa.eu/949/primaryLocation/SE02300;SE02300;POINT(12.8574 55.8791);Landskrona Östra;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/f3176506de;http://data.europa.eu/949/concepts/op-types/80;junction;SEÖl;http://data.europa.eu/949/primaryLocation/SE10624;SE10624;POINT(14.0054 59.3609);Ölme;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/66e81c84da;http://data.europa.eu/949/concepts/op-types/20;small station;SESre;http://data.europa.eu/949/primaryLocation/SE03962;SE03962;POINT(15.5371 60.0725);Söderbärke;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/4db573d51e;http://data.europa.eu/949/concepts/op-types/20;small station;SEBä;http://data.europa.eu/949/primaryLocation/SE00520;SE00520;POINT(15.4176 62.75);Bräcke;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/d1528fd82a;http://data.europa.eu/949/concepts/op-types/80;junction;SEGim;http://data.europa.eu/949/primaryLocation/SE01077;SE01077;POINT(20.3159 63.7873);Gimonäs;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/3826ede1c8;http://data.europa.eu/949/concepts/op-types/80;junction;SETye;http://data.europa.eu/949/primaryLocation/SE10549;SE10549;POINT(12.3916 57.0199);Tyllered;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/649052a495;http://data.europa.eu/949/concepts/op-types/80;junction;SENy;http://data.europa.eu/949/primaryLocation/SE10397;SE10397;POINT(15.6133 62.8919);Nyhem;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/a82c9acc72;http://data.europa.eu/949/concepts/op-types/20;small station;SEKfn;http://data.europa.eu/949/primaryLocation/SE02065;SE02065;POINT(16.8512 60.8431);Kolforsen;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/d25ee152fe;http://data.europa.eu/949/concepts/op-types/80;junction;SEFär;http://data.europa.eu/949/primaryLocation/SE08483;SE08483;POINT(17.2461 60.6865);Fliskär;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/53b961f03b;http://data.europa.eu/949/concepts/op-types/20;small station;SESuc;http://data.europa.eu/949/primaryLocation/SE03869;SE03869;POINT(17.3149 62.3866);Sundsvalls central;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/951eb1d8c4;http://data.europa.eu/949/concepts/op-types/20;small station;SENr;http://data.europa.eu/949/primaryLocation/SE02930;SE02930;POINT(16.1817 58.5963);Norrköpings central;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/d5c9e72529;http://data.europa.eu/949/concepts/op-types/20;small station;SEKp;http://data.europa.eu/949/primaryLocation/SE02260;SE02260;POINT(16.0066 59.5062);Köping;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/a2d3164878;http://data.europa.eu/949/concepts/op-types/80;junction;SEFb;http://data.europa.eu/949/primaryLocation/SE00929;SE00929;POINT(16.8885 60.6397);Forsbacka;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/bab7303672;http://data.europa.eu/949/concepts/op-types/20;small station;SEHrc;http://data.europa.eu/949/primaryLocation/SE01476;SE01476;POINT(13.0209 58.0791);Herrljunga central;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/5476a8d75c;http://data.europa.eu/949/concepts/op-types/80;junction;SEWibe;http://data.europa.eu/949/primaryLocation/SE10577;SE10577;POINT(14.5241 60.9840);Wibe;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/812bb023d4;http://data.europa.eu/949/concepts/op-types/20;small station;SEStv;http://data.europa.eu/949/primaryLocation/SE03696;SE03696;POINT(15.3118 62.8261);Stavre;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/43f28b3458;http://data.europa.eu/949/concepts/op-types/20;small station;SESnv;http://data.europa.eu/949/primaryLocation/SE03389;SE03389;POINT(16.7776 60.6142);Sandviken;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/6f5a9bac3e;http://data.europa.eu/949/concepts/op-types/20;small station;SEÅre;http://data.europa.eu/949/primaryLocation/SE04734;SE04734;POINT(13.0749 63.3994);Åre;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/a0bc51d5da;http://data.europa.eu/949/concepts/op-types/10;station;SEG;http://data.europa.eu/949/primaryLocation/SE01318;SE01318;POINT(11.9739 57.7089);Göteborgs Central;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/4d72af8c31;http://data.europa.eu/949/concepts/op-types/20;small station;SETou;http://data.europa.eu/949/primaryLocation/SE04176;SE04176;POINT(13.0795 56.9576);Torup;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/5be0613bb1;http://data.europa.eu/949/concepts/op-types/20;small station;SEMsl;http://data.europa.eu/949/primaryLocation/SE02671;SE02671;POINT(18.3067 63.4282);Mellansel;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/50f1996db2;http://data.europa.eu/949/concepts/op-types/80;junction;SEByä;http://data.europa.eu/949/primaryLocation/SE10068;SE10068;POINT(12.9221 59.1386);Byälven;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/1f2d296423;http://data.europa.eu/949/concepts/op-types/80;junction;SEMorp;http://data.europa.eu/949/primaryLocation/SE10369;SE10369;POINT(16.1341 59.5332);Munktorp;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/b26bba9cb0;http://data.europa.eu/949/concepts/op-types/20;small station;SEHlf;http://data.europa.eu/949/primaryLocation/SE01667;SE01667;POINT(14.5181 59.7777);Hällefors;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/a37442b5ef;http://data.europa.eu/949/concepts/op-types/80;junction;SELdl;http://data.europa.eu/949/primaryLocation/SE10314;SE10314;POINT(20.0254 64.9822);Lidlund;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/45e5a811bc;http://data.europa.eu/949/concepts/op-types/80;junction;SEVia;http://data.europa.eu/949/primaryLocation/SE10576;SE10576;POINT(17.1911 61.8079);Via;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/6eae9a5dbe;http://data.europa.eu/949/concepts/op-types/100;shunting yard;SESär;http://data.europa.eu/949/primaryLocation/SE03953;SE03953;POINT(12.0462 57.7301);Sävenäs rangerbangård;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/64f04f8773;http://data.europa.eu/949/concepts/op-types/80;junction;SERån;http://data.europa.eu/949/primaryLocation/SE10438;SE10438;POINT(12.4119 58.8309);Råsjön;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/ed12cb0043;http://data.europa.eu/949/concepts/op-types/20;small station;SEKmb;http://data.europa.eu/949/primaryLocation/SE02007;SE02007;POINT(20.1992 67.8683);Kiruna malmbangård;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/3190bb5f0b;http://data.europa.eu/949/concepts/op-types/80;junction;SEVn;http://data.europa.eu/949/primaryLocation/SE04606;SE04606;POINT(18.0949 59.3511);Värtan;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/dd74a34278;http://data.europa.eu/949/concepts/op-types/20;small station;SEGas;http://data.europa.eu/949/primaryLocation/SE10129;SE10129;POINT(12.004 57.727);Gamlestaden;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/eb018a18c8;http://data.europa.eu/949/concepts/op-types/20;small station;SEBdn;http://data.europa.eu/949/primaryLocation/SE00389;SE00389;POINT(21.7081 65.8288);Bodens central;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/b3fe10ae6d;http://data.europa.eu/949/concepts/op-types/20;small station;SENyb;http://data.europa.eu/949/primaryLocation/SE02959;SE02959;POINT(15.909 56.7424);Nybro;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/d948bc81ea;http://data.europa.eu/949/concepts/op-types/80;junction;SEFsö;http://data.europa.eu/949/primaryLocation/SE10109;SE10109;POINT(16.5949 59.0616);Flens övre;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/14c3938d32;http://data.europa.eu/949/concepts/op-types/80;junction;SEVf;http://data.europa.eu/949/primaryLocation/SE10567;SE10567;POINT(13.628 58.0921);Vartofta;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/0816b12e4b;http://data.europa.eu/949/concepts/op-types/80;junction;SEDgn;http://data.europa.eu/949/primaryLocation/SE10075;SE10075;POINT(16.4535 60.3828);Dalgränsen;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/69756b6403;http://data.europa.eu/949/concepts/op-types/80;junction;SESpj;http://data.europa.eu/949/primaryLocation/SE10487;SE10487;POINT(15.5943 56.3103);Spjutsbygd;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/a7af6eb548;http://data.europa.eu/949/concepts/op-types/80;junction;SESrt;http://data.europa.eu/949/primaryLocation/SE10509;SE10509;POINT(14.4115 59.2506);Strömtorp;http://publications.europa.eu/resource/authority/country/SWE;Sweden
